City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,42.1,-79.24,39.99,60,1,12.75,clear sky
1,Luderitz,-26.65,15.16,66.2,68,0,17.22,clear sky
2,Arraial Do Cabo,-22.97,-42.03,78.8,74,0,19.46,clear sky
3,Urumqi,43.8,87.6,28.4,74,90,8.95,mist
4,Port Alfred,-33.59,26.89,64.8,84,22,10.09,light rain
5,Atuona,-9.8,-139.03,78.6,76,12,16.44,light rain
6,Deputatskiy,69.3,139.9,-7.42,92,100,2.91,overcast clouds
7,Svetlogorsk,52.63,29.73,33.76,97,96,5.95,light snow
8,Rikitea,-23.12,-134.97,76.51,80,100,13.33,light rain
9,Puerto Madero,14.72,-92.42,87.8,58,40,9.17,scattered clouds
10,Faro,37.02,-7.93,59.0,87,75,5.82,broken clouds
11,Albany,42.6,-73.97,48.0,58,43,1.99,scattered clouds
12,Williston,48.15,-103.62,48.99,43,87,5.99,overcast clouds
13,Khatanga,71.97,102.5,12.83,96,100,18.95,light snow
14,Noumea,-22.28,166.46,77.0,60,0,3.36,clear sky
15,Tiksi,71.69,128.87,-2.31,91,44,9.55,scattered clouds
16,Hambantota,6.12,81.12,76.77,86,92,5.88,overcast clouds
17,Punta Arenas,-53.15,-70.92,50.0,53,75,29.97,broken clouds
18,Aksarka,66.56,67.8,10.45,94,100,12.39,overcast clouds
19,Busselton,-33.65,115.33,48.99,96,100,6.69,overcast clouds
20,Araouane,18.9,-3.53,69.44,27,0,5.12,clear sky
21,Hithadhoo,-0.6,73.08,81.82,73,68,9.22,broken clouds
22,Labuhan,-6.88,112.21,78.96,86,100,4.76,light rain
23,Provideniya,64.38,-173.3,16.52,90,89,13.24,overcast clouds
24,Yatou,37.15,122.38,31.98,94,52,7.09,broken clouds
25,Pevek,69.7,170.31,13.26,97,100,4.32,light snow
26,Ko Samui,9.54,99.94,81.54,73,26,9.1,moderate rain
27,Port Moresby,-9.44,147.18,73.4,100,20,3.36,few clouds
28,Ormara,25.21,64.64,74.03,52,0,7.02,clear sky
29,Pacific Grove,36.62,-121.92,64.4,18,1,5.82,clear sky
30,Mataura,-46.19,168.86,57.0,69,70,11.01,broken clouds
