City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kastamonu,TR,2020-11-27 03:58:11,41.5,33.67,29.25,96,0,1.41
1,Bambous Virieux,MU,2020-11-27 03:58:11,-20.34,57.76,79.0,73,20,12.75
2,New Norfolk,AU,2020-11-27 03:58:11,-42.78,147.06,81.0,26,54,5.99
3,Bowen,AU,2020-11-27 03:58:11,-20.02,148.23,87.8,52,46,16.11
4,Bluff,NZ,2020-11-27 03:58:12,-46.6,168.33,54.0,68,59,15.99
5,Katsuura,JP,2020-11-27 03:58:12,35.13,140.3,57.99,76,75,11.41
6,Codrington,AU,2020-11-27 03:58:12,-38.27,141.97,73.42,59,100,10.87
7,Cherskiy,RU,2020-11-27 03:58:12,68.75,161.3,21.56,92,99,19.91
8,Kodiak,US,2020-11-27 03:58:12,57.79,-152.41,32.0,85,20,3.36
9,Halifax,CA,2020-11-27 03:57:20,44.65,-63.57,53.01,100,100,9.17
10,Byron Bay,AU,2020-11-27 03:58:12,-28.65,153.62,82.0,54,1,13.87
11,Lebu,CL,2020-11-27 03:58:12,-37.62,-73.65,51.82,79,0,14.92
12,Srandakan,ID,2020-11-27 03:58:12,-7.94,110.25,84.49,60,78,6.98
13,Najran,SA,2020-11-27 03:58:13,17.49,44.13,60.8,38,0,1.36
14,Nanortalik,GL,2020-11-27 03:58:13,60.14,-45.24,26.67,86,25,24.16
15,Isangel,VU,2020-11-27 03:58:13,-19.55,169.27,82.4,78,40,9.17
16,Atuona,PF,2020-11-27 03:58:13,-9.8,-139.03,77.76,73,46,15.73
17,Avera,US,2020-11-27 03:58:13,33.19,-82.53,62.6,95,90,5.21
18,Port Alfred,ZA,2020-11-27 03:58:13,-33.59,26.89,61.45,63,58,5.08
19,Sungurlu,TR,2020-11-27 03:58:13,40.17,34.37,31.93,95,0,3.0
20,Rabo De Peixe,PT,2020-11-27 03:58:14,37.8,-25.58,59.0,82,75,9.17
21,Rikitea,PF,2020-11-27 03:58:14,-23.12,-134.97,75.85,82,100,16.06
22,Ushuaia,AR,2020-11-27 03:58:14,-54.8,-68.3,51.8,50,75,14.99
23,Kapaa,US,2020-11-27 03:53:21,22.08,-159.32,78.8,74,75,16.11
24,Puerto Ayora,EC,2020-11-27 03:58:14,-0.74,-90.35,70.0,94,80,8.01
25,Cabedelo,BR,2020-11-27 03:58:14,-6.98,-34.83,75.2,88,20,6.93
26,Ancud,CL,2020-11-27 03:58:14,-41.87,-73.82,52.0,100,90,14.99
27,Arman,RU,2020-11-27 03:58:14,59.7,150.17,9.72,84,28,9.4
28,Khorramshahr,IR,2020-11-27 03:58:15,30.44,48.17,64.4,72,40,4.7
